dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label,detection_score,true_label,timestamp,detected_by_model
1.1e-05,unas,-,INT,2,0,200,0,90909.09,72727270.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.459051,Flow_Aware_LSH
4e-06,udp,dns,INT,2,0,114,0,250000.0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,17,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.464135,Flow_Aware_LSH
3e-06,udp,-,INT,2,0,196,0,333333.3,261333330.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,98,0,0,0,5,1,0,0,0,0,Normal,0,0.9,0,2025-07-15T10:25:34.469311,Flow_Aware_LSH
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,Exploits,1,0.9,1,2025-07-15T10:25:34.469328,Flow_Aware_LSH
0.735916,tcp,-,FIN,36,18,28032,1342,72.01909,296272.94,13784.182,15,5,21.02617,30.407705,1447.1786,1435.9574,255,2095547142,158429705,255,0.0,0.0,0.0,779,75,0,0,1,1,0,0,0,0,Exploits,1,0.9,1,2025-07-15T10:25:34.474467,Flow_Aware_LSH
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,3,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.479556,Flow_Aware_LSH
0.561027,tcp,-,CON,6,2,998,86,12.477118,11863.957,613.16125,2,1,112.2054,0.003,5651.4478,0.0,255,2401018720,967212869,255,0.245893,0.16383,0.082063,166,43,0,0,1,1,0,0,0,0,Normal,0,0.790625,0,2025-07-15T10:25:34.479577,Flow_Aware_LSH
6e-06,udp,dns,INT,2,0,114,0,166666.66,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,9,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.484659,Flow_Aware_LSH
0.419858,tcp,-,FIN,10,6,2516,268,35.726364,43157.45,4268.1094,2,1,43.96622,67.311,2321.294,103.529816,255,3878033356,2832797526,255,0.168871,0.083294,0.085577,252,45,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.494820,Flow_Aware_LSH
0.713755,tcp,-,FIN,20,20,2754,1694,54.6406,29332.193,18045.408,7,8,37.56605,35.041843,1795.6,40.692303,255,277653718,3448687727,255,0.102371,0.04322,0.059151,138,85,0,0,1,1,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.499929,Flow_Aware_LSH
1.272488,tcp,-,FIN,116,34,132544,2288,117.093445,826110.75,13963.196,55,8,11.065113,37.50033,1107.2373,1871.0582,255,3436305101,2674627809,255,0.062555,0.03427,0.028285,1143,67,0,0,1,1,0,0,0,0,Exploits,1,0.8312499999999999,1,2025-07-15T10:25:34.499954,Flow_Aware_LSH
0.177298,tcp,-,FIN,10,6,756,268,84.603325,30727.928,10107.277,2,1,18.906889,33.9054,1002.9267,59.469437,255,1941571190,3801254046,255,0.053903,0.007764,0.046139,76,45,0,0,2,1,0,0,0,0,Normal,0,0.9,0,2025-07-15T10:25:34.505393,Flow_Aware_LSH
0.606499,tcp,-,FIN,10,6,534,268,24.73211,6344.6104,2954.6626,2,1,62.705444,102.856,3114.804,149.44727,255,4292577288,2429090242,255,0.162343,0.092216,0.070127,53,45,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.510481,Flow_Aware_LSH
4e-06,unas,-,INT,2,0,200,0,90909.09,72727270.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,Exploits,1,0.85,1,2025-07-15T10:25:34.510573,Flow_Aware_LSH
0.227228,tcp,http,FIN,10,6,1526,268,66.01299,48374.32,7886.352,2,1,23.740444,39.148,1216.2626,57.458775,255,58818458,1164368772,255,0.085653,0.031487,0.054166,153,45,1,0,3,1,0,0,1,0,Normal,0,0.803125,0,2025-07-15T10:25:34.515657,Flow_Aware_LSH
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,10,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.515769,Flow_Aware_LSH
0.413035,tcp,http,FIN,10,6,1206,268,36.316532,21034.537,4338.615,2,1,45.892776,80.2568,3118.079,137.44527,255,597073499,2013623196,255,0.051774,0.011084,0.04069,121,45,1,0,1,1,0,0,1,0,Exploits,1,0.9,1,2025-07-15T10:25:34.520865,Flow_Aware_LSH
1.016747,tcp,-,FIN,16,12,904,678,26.555279,6672.26,4894.0396,4,4,67.783134,86.46255,3634.8096,128.34589,255,656324138,1873663455,255,0.116716,0.052776,0.06394,57,57,0,0,1,1,0,0,0,0,Normal,0,0.8265625,0,2025-07-15T10:25:34.526397,Flow_Aware_LSH
0.005349,tcp,ftp-data,FIN,14,6,8928,320,3552.066,12400075.0,399326.97,4,1,0.411462,0.9342,23.261433,1.561326,255,3538860733,3544845976,255,0.000709,0.000543,0.000166,638,53,0,0,1,1,0,0,0,0,Normal,0,0.8359375,0,2025-07-15T10:25:34.531547,Flow_Aware_LSH
2.877068,tcp,http,FIN,14,18,1684,10168,10.774858,4348.8716,26704.965,3,5,221.2863,169.20723,18323.754,16029.65,255,3120608724,3165441357,255,0.000697,0.000541,0.000156,120,565,1,3924,1,1,0,0,1,0,Normal,0,0.840625,0,2025-07-15T10:25:34.531573,Flow_Aware_LSH
1.903207,tcp,-,FIN,38,160,1880,193931,103.5095,7696.483,810081.1,6,78,51.438026,11.615019,2483.5903,1165.2717,255,668543562,3858214406,255,0.076059,0.04404,0.032019,49,1212,0,0,1,1,0,0,0,0,Exploits,1,0.9,1,2025-07-15T10:25:34.536682,Flow_Aware_LSH
0.362272,tcp,http,FIN,10,10,744,6174,52.44678,14795.513,122714.43,2,3,40.181,33.731445,2048.5754,1971.2915,255,3388174400,3688155861,255,0.075817,0.058684,0.017133,74,617,1,2649,1,1,0,0,1,0,Exploits,1,0.8359375,1,2025-07-15T10:25:34.541800,Flow_Aware_LSH
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,18,0,0,0,0,Generic,1,0.8453124999999999,1,2025-07-15T10:25:34.546897,Flow_Aware_LSH
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,8,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.552044,Flow_Aware_LSH
2.118946,tcp,-,FIN,10,8,844,354,8.022856,2869.351,1170.3932,2,1,235.37445,285.47314,14634.735,601.72797,255,623251860,2560514605,255,0.311191,0.120624,0.190567,84,44,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.552063,Flow_Aware_LSH
4e-06,udp,dns,INT,2,0,114,0,250000.0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,22,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.557249,Flow_Aware_LSH
0.198007,tcp,-,FIN,10,6,1008,268,75.7549,36685.57,9050.185,2,1,20.912443,34.8164,1230.2156,53.26129,255,719080926,1975254363,255,0.030915,0.023921,0.006994,101,45,0,0,1,1,0,0,0,0,Exploits,1,0.8265625,1,2025-07-15T10:25:34.562339,Flow_Aware_LSH
1e-06,udp,dns,INT,2,0,114,0,1000000.0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,3,3,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.567459,Flow_Aware_LSH
0.001036,udp,dns,CON,2,2,132,164,2895.753,509652.53,633204.6,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.567475,Flow_Aware_LSH
4e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,6,0,0,0,0,Exploits,1,0.85,1,2025-07-15T10:25:34.572599,Flow_Aware_LSH
1.432604,tcp,-,FIN,24,20,2158,1918,30.015274,11553.786,10180.064,6,5,62.28713,75.36421,0.0,5158.6445,255,1145284658,1145546677,255,0.000709,0.000546,0.000163,90,96,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.577698,Flow_Aware_LSH
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,22,0,0,0,0,Generic,1,0.8453124999999999,1,2025-07-15T10:25:34.582835,Flow_Aware_LSH
1.174854,tcp,ssh,FIN,100,102,14512,17238,171.08508,97830.02,116228.91,22,32,11.867212,11.62504,815.23285,809.90576,255,3000832807,855741971,255,0.000748,0.000587,0.000161,145,169,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.582865,Flow_Aware_LSH
1.1e-05,udp,dns,INT,2,0,114,0,90909.09,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,4,0,0,0,0,Generic,1,0.8359375,1,2025-07-15T10:25:34.587947,Flow_Aware_LSH
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,32,20,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.587967,Flow_Aware_LSH
0.550979,tcp,-,FIN,10,6,2516,268,27.224266,32886.914,3252.3923,2,1,56.27822,96.6718,2916.9897,150.28645,255,2459480164,3265042661,255,0.13802,0.067615,0.070405,252,45,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.593099,Flow_Aware_LSH
4e-06,udp,-,INT,2,0,104,0,250000.0,104000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.598236,Flow_Aware_LSH
1.015938,tcp,-,FIN,16,12,906,642,26.576424,6693.322,4638.078,5,3,65.1222,87.476364,3896.602,122.2172,255,3947632852,1112680071,255,0.120631,0.053688,0.066943,57,54,0,0,1,1,0,0,0,0,Normal,0,0.8453124999999999,0,2025-07-15T10:25:34.603328,Flow_Aware_LSH
1.886487,tcp,-,FIN,16,26,734,22436,21.733519,2921.833,91488.57,3,11,125.76579,69.19128,6673.4585,5726.6743,255,417435309,3647343038,255,0.263977,0.125487,0.13849,46,863,0,0,1,1,0,0,0,0,Exploits,1,0.8265625,1,2025-07-15T10:25:34.608418,Flow_Aware_LSH
7e-06,tcp,-,REQ,2,0,90,0,142857.14,51428572.0,0.0,1,0,0.007,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.618567,Flow_Aware_LSH
3e-06,udp,-,INT,2,0,168,0,333333.3,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1,0.8546874999999999,1,2025-07-15T10:25:34.624023,Flow_Aware_LSH
0.897033,tcp,ssh,FIN,70,62,12472,12820,146.037,109641.45,112495.305,17,17,13.000479,14.693246,752.4492,801.3597,255,3287739710,1138455499,255,0.000755,0.000596,0.000159,178,207,0,0,1,1,0,0,0,0,Normal,0,0.8640625,0,2025-07-15T10:25:34.629219,Flow_Aware_LSH
2.102171,tcp,-,FIN,18,18,1016,2952,16.649454,3653.366,10609.984,6,7,123.65712,119.438416,7089.707,180.01323,255,3647009496,837711540,255,0.158704,0.070758,0.087946,56,164,0,0,1,1,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.634466,Flow_Aware_LSH
0.670568,tcp,-,FIN,10,6,756,268,22.369097,8124.456,2672.3613,2,1,69.31411,109.2902,3794.2551,171.80234,255,2874321609,134985815,255,0.174738,0.124115,0.050623,76,45,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.644807,Flow_Aware_LSH
0.793967,tcp,-,FIN,14,12,3336,678,31.487453,31215.402,6267.2627,4,4,60.98531,68.15073,3001.029,78.72215,255,821899923,1309826331,255,0.088281,0.044302,0.043979,238,57,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.644849,Flow_Aware_LSH
0.001029,udp,dns,CON,2,2,146,178,2915.452,567541.3,691933.9,0,0,0.006,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.655202,Flow_Aware_LSH
1e-06,udp,dns,INT,2,0,114,0,1000000.0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,12,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.655235,Flow_Aware_LSH
0.004458,udp,-,CON,4,4,568,312,1570.2108,764468.4,419919.25,0,0,1.194,1.022333,1.682207,1.435899,0,0,0,0,0.0,0.0,0.0,142,78,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.660355,Flow_Aware_LSH
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,25,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.660382,Flow_Aware_LSH
0.804247,tcp,http,FIN,10,8,846,1104,21.137783,7579.7607,9608.988,2,2,89.36078,99.85743,4447.1855,154.74588,255,2571656743,2598115105,255,0.236189,0.1046,0.131589,85,138,1,131,1,1,0,0,1,0,Normal,0,0.75,0,2025-07-15T10:25:34.665486,Flow_Aware_LSH
6e-06,udp,dns,INT,2,0,114,0,166666.66,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,13,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.665505,Flow_Aware_LSH
2e-06,udp,dns,INT,2,0,114,0,500000.0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,15,15,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:34.670636,Flow_Aware_LSH
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,18,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:34.676284,Flow_Aware_LSH
4e-06,prm,-,INT,2,0,200,0,250000.0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,6,0,0,0,0,Exploits,1,0.85,1,2025-07-15T10:25:34.681422,Flow_Aware_LSH
1.1e-05,ttp,-,INT,2,0,200,0,100000.0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,DoS,1,0.75,1,2025-07-15T10:25:34.686760,Flow_Aware_LSH
1e-05,udp,dns,INT,2,0,114,0,100000.0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,3,0,0,0,0,Generic,1,0.8359375,1,2025-07-15T10:25:34.691887,Flow_Aware_LSH
9e-06,unas,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,4,0,0,0,0,Exploits,1,0.75,1,2025-07-15T10:25:34.702272,Flow_Aware_LSH
1.11215,tcp,-,FIN,10,8,2530,354,15.285708,16379.086,2229.915,2,1,123.57222,138.532,7403.4053,209.67436,255,4011304712,2391208240,255,0.176271,0.08224,0.094031,253,44,0,0,1,1,0,0,0,0,Normal,0,0.8265625,0,2025-07-15T10:25:34.707536,Flow_Aware_LSH
0.220151,tcp,-,FIN,76,72,85672,3788,667.7235,3072254.8,135761.36,33,1,2.935347,3.075268,156.29898,4.016229,255,178193820,51821024,255,0.0,0.0,0.0,1127,53,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:34.707599,Flow_Aware_LSH
1.082826,tcp,-,FIN,14,12,774,642,23.087734,5312.026,4351.576,4,3,83.29431,92.182724,5359.0522,132.79767,255,340182413,3636718186,255,0.142574,0.04443,0.098144,55,54,0,0,1,1,0,0,0,0,Normal,0,0.7796875,0,2025-07-15T10:25:34.707627,Flow_Aware_LSH
1.270973,tcp,-,FIN,60,16,68183,698,59.00991,422020.0,4122.8257,27,1,21.541916,83.0342,2443.2515,109.28771,255,2231456488,3685411007,255,0.083778,0.024746,0.059032,1136,44,1,0,1,1,0,0,1,0,Normal,0,0.8265625,0,2025-07-15T10:25:34.707651,Flow_Aware_LSH
1.141015,tcp,http,FIN,10,8,804,1152,14.899015,5076.182,7067.3916,2,2,126.77944,151.85442,7497.8687,306.5593,255,1389319246,3299279585,255,0.118878,0.077355,0.041523,80,144,1,173,2,1,0,0,1,0,Normal,0,0.9,0,2025-07-15T10:25:34.707683,Flow_Aware_LSH
0.145831,tcp,-,FIN,84,86,4862,79882,1158.8756,263592.78,4331260.0,7,36,1.751482,1.729464,98.85057,97.854355,255,2365640363,238647950,255,0.000753,0.000553,0.0002,58,929,0,0,1,1,0,0,0,0,Normal,0,0.85,0,2025-07-15T10:25:34.707711,Flow_Aware_LSH
0.160533,tcp,http,FIN,10,6,774,268,93.438736,34734.293,11162.814,2,1,17.317556,26.8454,985.96704,46.61173,255,4218615077,3869980222,255,0.044853,0.026297,0.018556,77,45,1,0,1,1,0,0,1,0,Exploits,1,0.75,1,2025-07-15T10:25:40.183582,Flow_Aware_LSH
40.02314,tcp,-,FIN,317,652,16966,946900,24.186008,3380.6443,188980.28,2,301,126.654465,61.47866,7319.5605,4883.7285,255,3955738642,1888750278,255,0.00067,0.000518,0.000152,54,1452,0,0,1,1,0,0,0,0,Normal,0,0.8546874999999999,0,2025-07-15T10:25:40.183610,Flow_Aware_LSH
6e-06,udp,dns,INT,2,0,114,0,166666.66,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,4,4,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:40.188699,Flow_Aware_LSH
0.913548,tcp,http,FIN,10,10,1356,1960,20.798033,10692.378,15447.464,2,2,101.50533,88.98111,7228.9404,130.5735,255,3948437465,1044194216,255,0.148071,0.08248,0.065591,136,196,1,383,1,1,0,0,1,0,Generic,1,0.78125,1,2025-07-15T10:25:40.188745,Flow_Aware_LSH
0.820677,tcp,-,FIN,10,10,608,646,23.151617,5341.931,5673.3647,2,3,91.18633,75.72289,4848.6357,109.12215,255,3395144805,932193467,255,0.191786,0.119993,0.071793,61,65,0,0,1,1,0,0,0,0,Exploits,1,0.8453124999999999,1,2025-07-15T10:25:40.188784,Flow_Aware_LSH
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,35,22,0,0,0,0,Generic,1,0.75,1,2025-07-15T10:25:40.188879,Flow_Aware_LSH
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,2,0,0,0,0,Generic,1,0.9,1,2025-07-15T10:25:40.188978,Flow_Aware_LSH
8e-06,sat-mon,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Analysis,1,0.9,1,2025-07-15T10:25:40.194168,Flow_Aware_LSH
0.006447,tcp,-,FIN,18,18,4232,2456,5428.882,4959826.5,2878858.5,7,7,0.358412,0.347294,19.023554,0.500023,255,849281095,852457729,255,0.000671,0.000538,0.000133,235,136,0,0,1,1,0,0,0,0,Normal,0,0.840625,0,2025-07-15T10:25:40.194209,Flow_Aware_LSH
1.1e-05,udp,dns,INT,2,0,114,0,90909.09,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,3,0,0,0,0,Generic,1,0.8359375,1,2025-07-15T10:25:40.199298,Flow_Aware_LSH
1.207251,tcp,-,FIN,34,12,34230,526,37.27477,220163.0,3200.6602,14,1,36.583363,102.06437,3701.6528,121.706314,255,525221611,4022120471,255,0.100521,0.035202,0.065319,1007,44,0,0,1,1,0,0,0,0,Normal,0,0.75,0,2025-07-15T10:25:40.225652,Flow_Aware_LSH
1.1e-05,udp,-,INT,2,0,1064,0,90909.09,386909100.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,14,1,0,0,0,0,Fuzzers,1,0.75,1,2025-07-15T10:25:40.225718,Flow_Aware_LSH
